,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
5030,Faurie,,,,,,,,Faurie,7,https://herbarium.bgbm.org/object/B100295546,4219.0,Faurie,"Faurie, U.",0.805
5149,Ferrero,L.M.,,,,,,,"Ferrero, L.M.",2,https://herbarium.bgbm.org/object/B101135628,4327.0,"Ferrero, L.M.","Guerrero, L.M.",0.805
5282,Fleury,F.,,,,,,,"Fleury, F.",3,http://id.snsb.info/snsb/collection/667993/726603/374266,4446.0,"Fleury, F.","Fleury, J.F.",0.805
5505,Friderichsen,K.,,,,,,,"Friderichsen, K.",2,https://je.jacq.org/JE00014460,4646.0,"Friderichsen, K.","Friderichsen, P.K.N.",0.805
5536,Fristedt,C.,,,,,,,"Fristedt, C.",1,https://herbarium.bgbm.org/object/B100295254,4674.0,"Fristedt, C.","Fristedt, R.F.",0.805
5600,Fuchs,,,,,,,,Fuchs,3,https://dr.jacq.org/DR059317,4726.0,Fuchs,"Fuchs, A.",0.805
6300,Gonzalez,L.,,,,,,,"Gonzalez, L.",2,https://herbarium.bgbm.org/object/B100377301,5321.0,"Gonzalez, L.","Gonzalez, E.C.",0.805
7384,Heitz,M.,,,,,,,"Heitz, M.",2,https://herbarium.bgbm.org/object/B100190306II,6253.0,"Heitz, M.","Heitz, A.",0.805
8500,Jahn,,,,,,,,Jahn,21,https://je.jacq.org/JE04005191,7213.0,Jahn,"Jahn, J.",0.805
8743,Jones,H.H.,,,,,,,"Jones, H.H.",1,https://herbarium.bgbm.org/object/B600325525,7421.0,"Jones, H.H.","Jones, H.L.",0.805
10432,Leipoldt,L.C.,,,,,,,"Leipoldt, L.C.",1,https://herbarium.bgbm.org/object/B100167492,8811.0,"Leipoldt, L.C.","Leipoldt, C.L.",0.805
11126,López,,,,,,,,López,2,https://herbarium.bgbm.org/object/B100035640,9392.0,López,"López, J.",0.805
11578,Martinez,O.,,,,,,,"Martinez, O.",23,https://herbarium.bgbm.org/object/B100034938,9777.0,"Martinez, O.","Martinez, C.",0.805
12661,Mussin-Puschkin,A.A.,,,,,,,"Mussin-Puschkin, A.A.",1,https://herbarium.bgbm.org/object/BW00791020,10702.0,"Mussin-Puschkin, A.A.","Mussin-Pushkin, A.",0.805
12756,Müller,Fr,,,,,,,"Müller, Fr",1,https://herbarium.bgbm.org/object/B300018984,10776.0,"Müller, Fr","Müller, F.",0.805
14052,Petrov,S.,,,,,,,"Petrov, S.",4,https://dr.jacq.org/DR057955,11860.0,"Petrov, S.","Petrov, V.",0.805
16601,Schoepf,J.D.,,,,,,,"Schoepf, J.D.",1,http://id.snsb.info/snsb/collection/494176/609312/276046,14027.0,"Schoepf, J.D.","Schoepff, J.D.",0.805
17891,Steven,,,,,,,,Steven,14,https://herbarium.bgbm.org/object/B100844069,15119.0,Steven,"Stevens, M.",0.805
18014,Strobl,,,,,,,,Strobl,6,https://herbarium.bgbm.org/object/B100384167,15229.0,Strobl,"Strobl, G.",0.805
18086,Suckow,R.,,,,,,,"Suckow, R.",1,https://je.jacq.org/JE00007743,15285.0,"Suckow, R.","Suckow, S.",0.805
18967,Uebel,V.,,,,,,,"Uebel, V.",1,https://dr.jacq.org/DR031924,15975.0,"Uebel, V.","Uebel, E.",0.805
20648,Ziegler,L.B.,,,,,,,"Ziegler, L.B.",1,https://herbarium.bgbm.org/object/B101233195,17418.0,"Ziegler, L.B.","Ziegler, A.",0.805
20800,Říčan,G.,,,,,,,"Říčan, G.",1,https://herbarium.bgbm.org/object/B100606454,17547.0,"Říčan, G.","Říčan, G.A.",0.805
637,Arras,K.,,,,,,,"Arras, K.",14,https://herbarium.bgbm.org/object/B101141338,512.0,"Arras, K.","Arras, L.",0.804
1544,Billberg,,,,,,,,Billberg,1,https://herbarium.bgbm.org/object/B100244475,1284.0,Billberg,"Billberg, J.I.",0.804
3166,Chinchilla,A.,,,,,,,"Chinchilla, A.",4,https://herbarium.bgbm.org/object/B101247837,2663.0,"Chinchilla, A.","Chinchilla, I.F.",0.804
4053,Diaz,L.,,,,,,,"Diaz, L.",2,https://herbarium.bgbm.org/object/B100576878,3417.0,"Diaz, L.","Diaz, E.",0.804
4570,Eckhardt,T.,,,,,,,"Eckhardt, T.",17,https://herbarium.bgbm.org/object/B100629114,3852.0,"Eckhardt, T.","Eckhardt, L.G.",0.804
111,García,Sánchez,,,,,,,"García, Sánchez",1,https://herbarium.bgbm.org/object/B100053188,111.0,"García, Sánchez","García, I Sánchez",0.804
6142,Ginns,,,,,,,,Ginns,1,https://herbarium.bgbm.org/object/B700003726,5183.0,Ginns,"Ginns, J.H.",0.804
6481,Grebe,,,,,,,,Grebe,13,https://herbarium.bgbm.org/object/B100263033,5484.0,Grebe,"Grebe, C.",0.804
6926,Hahn,,,,,,,,Hahn,17,https://herbarium.bgbm.org/object/B200067870,5849.0,Hahn,"Hahn, G.",0.804
10468,Lemus,P.,,,,,,,"Lemus, P.",81,https://herbarium.bgbm.org/object/B100031021,8842.0,"Lemus, P.","Lemus, A.J.",0.804
10666,Lima,D.S.,,,,,,,"Lima, D.S.",2,https://herbarium.bgbm.org/object/B100608771,9009.0,"Lima, D.S.","Lima, D.F.",0.804
11198,Maas,,,,,,,,Maas,4,https://herbarium.bgbm.org/object/B100157356,9455.0,Maas,"Maas, P.",0.804
12366,Monti,F.,,,,,,,"Monti, F.",2,https://herbarium.bgbm.org/object/B101042671,10442.0,"Monti, F.","Monti, G.",0.804
13153,Nordenstam,R.B.,,,,,,,"Nordenstam, R.B.",1,http://id.snsb.info/snsb/collection/525134/649300/306594,11105.0,"Nordenstam, R.B.","Nordenstam, B.",0.804
14066,Petterson,O.,,,,,,,"Petterson, O.",1,https://herbarium.bgbm.org/object/B101137431,11874.0,"Petterson, O.","Petterson, J.A.",0.804
15148,Reisch,M.,,,,,,,"Reisch, M.",426,https://herbarium.bgbm.org/object/B100132100,12785.0,"Reisch, M.","Reisch, C.",0.804
15589,Roldán,F.J.,,,,,,,"Roldán, F.J.",1,https://herbarium.bgbm.org/object/B100247133,13176.0,"Roldán, F.J.","Roldán, A.",0.804
