source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
Adelaide & Musaeo Ed. Brown & Museum Paris & Collection Oberthur	Collection Oberthur	parsed:Adelaide<SEP>Musaeo Ed Brown<SEP>Paris<SEP>Collection Oberthur	cleaned:Adelaide<SEP>Musaeo Ed Brown<SEP>Paris<SEP>	cleaned_0index:3
Adelaide River, J. J. & Museum Paris & Collection R.	Collection R.	parsed:J.J. Adelaide River<SEP>Paris<SEP>Collection R.	cleaned:J.J. Adelaide River<SEP>Paris<SEP>	cleaned_0index:2
Adele L & RV Southern Surveyor	RV Southern Surveyor	parsed:L. Adele<SEP>RV Southern Surveyor	cleaned:L. Adele<SEP>	cleaned_0index:1
A, D. H. Kavanaugh, P. E. & Marek	P. E.	parsed:A. D. H. Kavanaugh<SEP>P. E.<SEP>Marek	cleaned:A. D. H. Kavanaugh<SEP><SEP>Marek	cleaned_0index:1
ADMAC				cleaned_0index:0
Admintrated Areas	Admintrated Areas	parsed:Admintrated Areas		cleaned_0index:0
A. Dow & Natural History Museum & London.	Natural History	parsed:A. Dow<SEP>Natural History<SEP>Lon	cleaned:A. Dow<SEP><SEP>Lon	cleaned_0index:1
A. Dow & Naturalis Biodiversity Center & Leiden	Naturalis Biodiversity Center	parsed:A. Dow<SEP>Naturalis Biodiversity Center<SEP>Leiden	cleaned:A. Dow<SEP><SEP>Leiden	cleaned_0index:1
A. Druk & J. D. Herndon & White Sands National Monument & Site C	White Sands National Monument	parsed:A. Druk<SEP>J.D. Herndon<SEP>White Sands National Monument<SEP>C. Site	cleaned:A. Druk<SEP>J.D. Herndon<SEP><SEP>C. Site	cleaned_0index:2
A. D. Selby & F. E. Wilson Collection	F. E. Wilson Collection	parsed:A.D. Selby<SEP>F. E. Wilson Collection	cleaned:A.D. Selby<SEP>	cleaned_0index:1
A. D. Tran & P. L. Le & T. C. Nguyen	P. L. Le	parsed:A.D. Tran<SEP>P. L. Le<SEP>T.C. Nguyen	cleaned:A.D. Tran<SEP><SEP>T.C. Nguyen	cleaned_0index:1
A. D. Tran & P. L. Le & T. C. Nguyen	P. L. Le	parsed:A.D. Tran<SEP>P. L. Le<SEP>T.C. Nguyen	cleaned:A.D. Tran<SEP><SEP>T.C. Nguyen	cleaned_0index:1
A. Ducke & Ducke & This & Belem & The & Dr. Leonhard Schultze	The	parsed:A. Ducke<SEP>Ducke<SEP>This<SEP>Belem<SEP>The<SEP>Leonhard Schultze	cleaned:A. Ducke<SEP>Ducke<SEP>This<SEP>Belem<SEP><SEP>Leonhard Schultze	cleaned_0index:4
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult	Adult	parsed:Adult		cleaned_0index:0
Adult & Ade P. Agung & Ada Chornelia & Jianmei Lu, L. & Jesse L.	Adult	parsed:Adult<SEP>Ade P. Agung<SEP>Ada Chornelia<SEP>L. Jianmei Lu<SEP>L. Jesse	cleaned:<SEP>Ade P. Agung<SEP>Ada Chornelia<SEP>L. Jianmei Lu<SEP>L. Jesse	cleaned_0index:0
Adult & A. D. Gottscho & Mohawk Dunes	Adult	parsed:Adult<SEP>A.D. Gottscho<SEP>Mohawk Dunes	cleaned:<SEP>A.D. Gottscho<SEP>Mohawk Dunes	cleaned_0index:0
Adult & Antananarivo & N. Cumberlidge	Adult	parsed:Adult<SEP>Antananarivo<SEP>N. Cumberlidge	cleaned:<SEP>Antananarivo<SEP>N. Cumberlidge	cleaned_0index:0
Adult & Boa Viagem	Adult	parsed:Adult<SEP>Boa Viagem	cleaned:<SEP>Boa Viagem	cleaned_0index:0
Adult & B. S. Lisboa	Adult	parsed:Adult<SEP>B.S. Lisboa	cleaned:<SEP>B.S. Lisboa	cleaned_0index:0
Adult & Chan Kin Onn, L. & Jacob A. Chan	Adult	parsed:Adult<SEP>L. Chan Kin Onn<SEP>Jacob A. Chan	cleaned:<SEP>L. Chan Kin Onn<SEP>Jacob A. Chan	cleaned_0index:0
Adult & Chan Kin Onn, L. & Jacob A. Chan	Adult	parsed:Adult<SEP>L. Chan Kin Onn<SEP>Jacob A. Chan	cleaned:<SEP>L. Chan Kin Onn<SEP>Jacob A. Chan	cleaned_0index:0
Adult. Coll.	Adult.	parsed:Adult.		cleaned_0index:0
Adult & Dentao Rock	Adult	parsed:Adult<SEP>Dentao Rock	cleaned:<SEP>Dentao Rock	cleaned_0index:0
Adult & Dentao Rock	Adult	parsed:Adult<SEP>Dentao Rock	cleaned:<SEP>Dentao Rock	cleaned_0index:0
Adult & D. Pavan & Middle & Itaituba	Adult	parsed:Adult<SEP>D. Pavan<SEP>Middle<SEP>Itaituba	cleaned:<SEP>D. Pavan<SEP>Middle<SEP>Itaituba	cleaned_0index:0
Adult & Dr. O.	Adult	parsed:Adult<SEP>O.	cleaned:<SEP>	cleaned_0index:0
Adult & Dr. O.	O.	parsed:Adult<SEP>O.	cleaned:<SEP>	cleaned_0index:1
Adult & D. Silvano & Silvano, B & U. Galatti	Adult	parsed:Adult<SEP>D. Silvano<SEP>B. Silvano<SEP>U. Galatti	cleaned:<SEP>D. Silvano<SEP>B. Silvano<SEP>U. Galatti	cleaned_0index:0
Adult & D. Silvano & Silvano, B & U. Galatti	Adult	parsed:Adult<SEP>D. Silvano<SEP>B. Silvano<SEP>U. Galatti	cleaned:<SEP>D. Silvano<SEP>B. Silvano<SEP>U. Galatti	cleaned_0index:0
Adult, E	E Adult	parsed:E Adult		cleaned_0index:0
Adult & Evan S. H. Quah, L. & Perry L. Wood Jr. & Myint Kyaw Thu	Adult	parsed:Adult<SEP>Evan S.H. Quah<SEP>L.<SEP>Perry L. Wood Jr.<SEP>Myint Kyaw Thu	cleaned:<SEP>Evan S.H. Quah<SEP>L.<SEP>Perry L. Wood Jr.<SEP>Myint Kyaw Thu	cleaned_0index:0
Adult & Evan S. H. Quah, L. & Perry L. Wood Jr. & Myint Kyaw Thu	Adult	parsed:Adult<SEP>Evan S.H. Quah<SEP>L.<SEP>Perry L. Wood Jr.<SEP>Myint Kyaw Thu	cleaned:<SEP>Evan S.H. Quah<SEP>L.<SEP>Perry L. Wood Jr.<SEP>Myint Kyaw Thu	cleaned_0index:0
Adult & F. S. Andrade	Adult	parsed:Adult<SEP>F.S. Andrade	cleaned:<SEP>F.S. Andrade	cleaned_0index:0
Adult & Hayden Davis & Izneil Nashriq & Wong Jye Wen & Indraneil	Adult	parsed:Adult<SEP>Hayden Davis<SEP>Izneil Nashriq<SEP>Wong Jye Wen<SEP>Indraneil	cleaned:<SEP>Hayden Davis<SEP>Izneil Nashriq<SEP>Wong Jye Wen<SEP>Indraneil	cleaned_0index:0
Adult & H. Heatwole & Deboyne Group	Adult	parsed:Adult<SEP>H. Heatwole<SEP>Deboyne Group	cleaned:<SEP>H. Heatwole<SEP>	cleaned_0index:0
Adult & H. Heatwole & Deboyne Group	Deboyne Group	parsed:Adult<SEP>H. Heatwole<SEP>Deboyne Group	cleaned:<SEP>H. Heatwole<SEP>	cleaned_0index:2
Adult & Jian Wang & Can-Rong Lin & Hui-Wen Xiao	Adult	parsed:Adult<SEP>Jian Wang<SEP>Can-Rong Lin<SEP>Hui-Wen Xiao	cleaned:<SEP>Jian Wang<SEP>Can-Rong Lin<SEP>Hui-Wen Xiao	cleaned_0index:0
Adult & Jian Wang & Can-Rong Lin & Hui-Wen Xiao	Adult	parsed:Adult<SEP>Jian Wang<SEP>Can-Rong Lin<SEP>Hui-Wen Xiao	cleaned:<SEP>Jian Wang<SEP>Can-Rong Lin<SEP>Hui-Wen Xiao	cleaned_0index:0
Adult & J. L. Grismer & Pulau Tinggi & Johor & Peninsular & A. Y	Adult	parsed:Adult<SEP>J.L. Grismer<SEP>Pulau Tinggi<SEP>Johor<SEP>Peninsular<SEP>A. Y	cleaned:<SEP>J.L. Grismer<SEP>Pulau Tinggi<SEP>Johor<SEP>Peninsular<SEP>	cleaned_0index:0
