,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
13018,Oldeman,,,,,,,,Oldeman,9,https://herbarium.bgbm.org/object/B101150068,7959,Oldeman,"Oldeman, R.A.A.",0.65
13033,Oliveira,F.C.A.,,,,,,,"Oliveira, F.C.A.",1,https://herbarium.bgbm.org/object/B100250171,9825,"Oliveira, F.C.A.","Oliveira, F.",0.65
13063,Onochie,C.,,,,,,,"Onochie, C.",1,https://herbarium.bgbm.org/object/B100629173,3263,"Onochie, C.","Onochie, C.F.A.",0.65
13096,Orellana,F.,,,,,,,"Orellana, F.",27,https://herbarium.bgbm.org/object/B100043156,19504,"Orellana, F.","Orellana, R.A.",0.65
13212,Padilla,C.,,,,,,,"Padilla, C.",7,https://herbarium.bgbm.org/object/B101046994,9596,"Padilla, C.","Padilla, S.A.",0.65
13245,Palacios-Rios,M.G.,,,,,,,"Palacios-Rios, M.G.",1,https://herbarium.bgbm.org/object/B200133750,1747,"Palacios-Rios, M.G.","Palacios-Ríos, M.",0.65
13254,Pallis,C.,,,,,,,"Pallis, C.",1,https://herbarium.bgbm.org/object/B180010940,12988,"Pallis, C.","Pallis, M.",0.65
13316,Papandicolaou,,,,,,,,Papandicolaou,2,http://id.snsb.info/snsb/collection/25284/34062/24848,9542,Papandicolaou,"Papanicolaou, K.",0.65
13346,Pareyss,,,,,,,,Pareyss,1,https://je.jacq.org/JE00017886,1071,Pareyss,"Parreyss, L.",0.65
13363,Parker,W.,,,,,,,"Parker, W.",1,https://herbarium.bgbm.org/object/B200116031,4646,"Parker, W.","Parker, J.",0.65
13533,Pellat,H.,,,,,,,"Pellat, H.",1,https://herbarium.bgbm.org/object/B100430410,10289,"Pellat, H.","Pellat, E.",0.65
13664,Petersson,J.,,,,,,,"Petersson, J.",3,https://herbarium.bgbm.org/object/B101137372,5186,"Petersson, J.","Peterson, J.",0.65
13693,Petry,H.,,,,,,,"Petry, H.",20,https://herbarium.bgbm.org/object/B100555265,15751,"Petry, H.","Petry, A.",0.65
13961,Poellnitz,K. von,,,,,,,"Poellnitz, K. von",2,https://herbarium.bgbm.org/object/B100165017a,19130,"Poellnitz, K. von","Poellnitz, K.v.",0.65
13972,Pohl,H.,,,,,,,"Pohl, H.",1,https://dr.jacq.org/DR010437,13901,"Pohl, H.","Pohl, J.",0.65
14019,Pollini,L.,,,,,,,"Pollini, L.",14,https://je.jacq.org/JE00017085,8036,"Pollini, L.","Pollini, C.",0.65
14021,Polozova,T.,,,,,,,"Polozova, T.",4,https://herbarium.bgbm.org/object/B100127326,18490,"Polozova, T.","Polozova, N.L.",0.65
14102,Potonié,H.,,,,,,,"Potonié, H.",9,https://herbarium.bgbm.org/object/B200170477,12858,"Potonié, H.","Potonié, R.",0.65
14107,Potter,C.,,,,,,,"Potter, C.",4,https://herbarium.bgbm.org/object/B100088463,19168,"Potter, C.","Potter, G.",0.65
14126,Powell,W.,,,,,,,"Powell, W.",1,https://herbarium.bgbm.org/object/B101068108a,13603,"Powell, W.","Powell, M.",0.65
14135,Prager,L.,,,,,,,"Prager, L.",1,http://id.snsb.info/snsb/collection/728933/799199/431908,72,"Prager, L.","Prager, E.(.",0.65
