recordedBy	occurrenceID_count	occurrenceID_first
Albrecht, D.E. (no. 10205)	1	http://id.snsb.info/snsb/collection/475169/585023/256395
Albrecht,R.	1	https://herbarium.bgbm.org/object/B700003950
Albury, Cheese & Watson	2	https://herbarium.bgbm.org/object/B100507644
Alcaraz,F. & Torre,C. de la	1	https://herbarium.bgbm.org/object/B100177892
Alcott,P.	2	https://herbarium.bgbm.org/object/B100847429
Aldana,J.	1	https://herbarium.bgbm.org/object/B100164968
Aldasoro,J., Aedo,C., Muñoz,F., Aizpuru,I., Güemes,J., Rico,E. & Valcarcel,V.	8	https://herbarium.bgbm.org/object/B101167860
Aldobrandi, G. (no. 15413)	2	http://id.snsb.info/snsb/collection/474094/583853/255321
Aldobrandi,G. & Baldini,R.M.	3	https://herbarium.bgbm.org/object/B100517321
Aldobrandi,G., Baldini,R.M. & Nepi,C.	1	https://herbarium.bgbm.org/object/B100460296
Aldén,B.	5	https://herbarium.bgbm.org/object/B100526211
Alefeld,F.G.C.	2	https://je.jacq.org/JE00021967
Alejandre,J.A.	1	https://herbarium.bgbm.org/object/B101135658
Alejandre,J.A. & Escalante,M.J.	1	https://herbarium.bgbm.org/object/B101135657
Aleksandrova,A.A. et al.	1	https://herbarium.bgbm.org/object/B100536335
Alekseenko	1	https://herbarium.bgbm.org/object/B101072155
Alencar, L. (no. 644)	1	http://id.snsb.info/snsb/collection/675714/736437/382468
Alexander	1	https://herbarium.bgbm.org/object/B100086074
Alexander,D.W.	2	https://herbarium.bgbm.org/object/B100242343
Alexander,R.C.	1	https://herbarium.bgbm.org/object/B100461148
Alexander,T.S.	1	https://herbarium.bgbm.org/object/B200121879
